Endpoint URL/Name,Purpose/Usage,Last Accessed,References Found,In Use?,Action Required,Data Isolation Maintained?,Rollback Plan Included?
"/campaigns","Campaign management CRUD operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/campaigns/{id}","Individual campaign operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/shows","Show management CRUD operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/shows/{id}","Individual show operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/shows/stats","Show statistics and analytics","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/episodes","Episode management CRUD operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/episodes/{id}","Individual episode operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/episodes/stats","Episode statistics and analytics","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/users","User management CRUD operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/users/{id}","Individual user operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/users/{id}/role","User role management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/users/{id}/status","User status management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/organizations","Organization management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/organizations/{id}","Individual organization operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/organizations/{id}/status","Organization status management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/organizations/{id}/features","Organization feature management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/advertisers","Advertiser CRM management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/advertisers/{id}","Individual advertiser operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/agencies","Agency CRM management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/agencies/{id}","Individual agency operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/insertion-orders","Order management system","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/insertion-orders/{id}","Individual order operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/financials","Financial records management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/financials/{id}","Individual financial records","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/contracts","Contract management system","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/contracts/{id}","Individual contract operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/availability","Inventory availability management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/availability/{id}","Individual availability slots","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/ad-copy","Creative asset management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/ad-copy/{id}","Individual creative assets","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/reports","Reporting system","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/reports/{id}","Individual report operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/analytics","Analytics data endpoints","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/analytics/campaigns","Campaign analytics","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/team","Team management operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/roles/{role}","Role definition management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/roles/{role}/permissions","Role permissions management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/roles/permissions","System permissions listing","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/user/profile","User profile management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/user/preferences","User preference settings","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/organization","Current organization info","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/organizations","Master organization management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/organizations/{id}","Master individual org operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/users","Master user management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/users/{id}","Master individual user operations","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/billing","Master billing overview","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/billing/{organizationId}","Master org-specific billing","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/analytics","Master analytics dashboard","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/invoices","Master invoice management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/invoices/{invoiceId}","Master individual invoices","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/master/settings","Master system settings","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/api-webhooks","Webhook management system","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/backups","System backup management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/overview","Dashboard overview endpoint","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/pipeline","Pipeline status monitoring","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"/security","Security settings management","2025-07-25 (cleanup)","Documentation only","No","Delete","Yes","Yes"
"AWS API Gateway (9uiib4zrdb)","Complete API Gateway instance","2025-07-25 (cleanup)","70+ deprecated endpoints","No","Delete Complete Stack","Yes","Yes"
"CloudFormation Stack (podcastflow-api)","Infrastructure stack","2025-07-25 (cleanup)","API Gateway + Lambda functions","No","Delete Stack","Yes","Yes"
"Lambda Functions (40+ functions)","Backend processing functions","2025-07-25 (cleanup)","Used DynamoDB (deprecated)","No","Delete All Functions","Yes","Yes"
"DynamoDB Tables (legacy)","Legacy data storage","2025-07-25 (cleanup)","Replaced by PostgreSQL schemas","No","Delete Tables","Yes","Yes"
"IAM Roles (Lambda execution)","Lambda function permissions","2025-07-25 (cleanup)","Attached to deleted functions","No","Delete Roles","Yes","Yes"
"CloudWatch Log Groups","API Gateway and Lambda logs","2025-07-25 (cleanup)","No recent activity","No","Delete Log Groups","Yes","Yes"
